title,release_date,genres,year,director
Mission to Mars,2000-03-10,Science Fiction,2000,Unknown
Rio,2011-04-03,Animation Adventure Comedy Family,2011,Unknown
Bicentennial Man,1999-12-17,Comedy Science Fiction,1999,Unknown
Volcano,1997-04-25,Science Fiction Action Drama Thriller,1997,Unknown
The Devil's Own,1997-03-12,Crime Thriller Drama,1997,Unknown
K-19: The Widowmaker,2002-07-19,Drama History Thriller,2002,Unknown
Conan the Barbarian,1982-04-02,Adventure Fantasy Action,1982,Unknown
Cinderella Man,2005-06-02,Romance Drama History,2005,Unknown
The Nutcracker: The Untold Story,2010-11-24,Fantasy Action Family,2010,Unknown
Seabiscuit,2003-07-22,Drama History,2003,Unknown
Twister,1996-05-10,Action Adventure Drama,1996,Unknown
Cast Away,2000-12-22,Adventure Drama,2000,Unknown
Happy Feet,2006-11-16,Animation Comedy,2006,Unknown
The Bourne Supremacy,2004-07-23,Action Drama Thriller,2004,Unknown
Air Force One,1997-07-25,Action Thriller,1997,Unknown
Ocean's Eleven,2001-12-07,Thriller Crime,2001,Unknown
The Three Musketeers,2011-08-31,Adventure Action Thriller,2011,Unknown
Hotel Transylvania,2012-09-20,Animation Comedy Family Fantasy,2012,Unknown
Enchanted,2007-11-20,Comedy Family Fantasy Romance,2007,Unknown
Safe House,2012-02-09,Action Thriller,2012,Unknown
102 Dalmatians,2000-10-07,Comedy Family,2000,Unknown
Tower Heist,2011-11-02,Action Comedy,2011,Unknown
The Holiday,2006-12-08,Comedy Romance,2006,Unknown
Enemy of the State,1998-11-20,Action Drama Thriller,1998,Unknown
It's Complicated,2009-12-23,Comedy Romance,2009,Unknown
Ocean's Thirteen,2007-06-07,Crime Thriller,2007,Unknown
Open Season,2006-09-29,Adventure Animation Family,2006,Unknown
Divergent,2014-03-14,Adventure Action Science Fiction,2014,Unknown
Enemy at the Gates,2001-03-13,War,2001,Unknown
The Rundown,2003-09-26,Adventure Action Comedy Thriller,2003,Unknown
Last Action Hero,1993-06-18,Adventure Fantasy Action Comedy Family,1993,Unknown
Memoirs of a Geisha,2005-12-06,Drama History Romance,2005,Unknown
The Fast and the Furious: Tokyo Drift,2006-06-03,Action Crime Drama Thriller,2006,Unknown
Arthur Christmas,2011-02-22,Drama Animation Family Comedy,2011,Unknown
Meet Joe Black,1998-11-12,Fantasy Drama Mystery,1998,Unknown
Collateral Damage,2002-02-06,Action Thriller Drama,2002,Unknown
All That Jazz,1979-12-20,Drama Music,1979,Unknown
Mirror Mirror,2012-03-15,Adventure Fantasy Drama Comedy Science Fiction Family,2012,Unknown
Scott Pilgrim vs. the World,2010-07-27,Action Adventure Comedy,2010,Unknown
The Core,2003-03-28,Action Thriller Adventure Science Fiction,2003,Unknown
Nutty Professor II: The Klumps,2000-07-27,Fantasy Comedy Romance Science Fiction,2000,Unknown
Scooby-Doo,2002-06-14,Mystery Adventure Comedy,2002,Unknown
Dredd,2012-09-07,Action Science Fiction,2012,Unknown
Click,2006-06-22,Comedy Drama Fantasy Romance,2006,Unknown
Creepshow,1982-11-12,Horror Comedy Fantasy,1982,Unknown
Cats & Dogs 2 : The Revenge of Kitty Galore,2010-07-30,Comedy Family,2010,Unknown
Jumper,2008-02-10,Adventure Fantasy Science Fiction,2008,Unknown
Hellboy II: The Golden Army,2008-07-11,Adventure Fantasy Science Fiction,2008,Unknown
Zodiac,2007-03-02,Crime Drama Mystery Thriller,2007,Unknown
The 6th Day,2000-11-17,Science Fiction,2000,Unknown
Bruce Almighty,2003-05-23,Fantasy Comedy,2003,Unknown
The Expendables,2010-08-03,Thriller Adventure Action,2010,Unknown
Mission: Impossible,1996-05-22,Adventure Action Thriller,1996,Unknown
The Hunger Games,2012-03-12,Science Fiction Adventure Fantasy,2012,Unknown
The Hangover Part II,2011-05-25,Comedy,2011,Unknown
Batman Returns,1992-06-19,Action Fantasy,1992,Unknown
Over the Hedge,2006-04-22,Comedy Animation Family,2006,Unknown
Lilo & Stitch,2002-06-21,Animation Family,2002,Unknown
Charlotte's Web,2006-12-15,Comedy Family Fantasy,2006,Unknown
Deep Impact,1998-05-08,Action Drama Romance,1998,Unknown
RED 2,2013-07-18,Action Comedy Crime Thriller,2013,Unknown
The Longest Yard,2005-05-19,Comedy Drama,2005,Unknown
Alvin and the Chipmunks: Chipwrecked,2011-12-14,Comedy Fantasy Family Music Animation,2011,Unknown
Grown Ups 2,2013-07-11,Comedy,2013,Unknown
Get Smart,2008-06-19,Action Comedy Thriller,2008,Unknown
Something's Gotta Give,2003-12-12,Drama Comedy Romance,2003,Unknown
Shutter Island,2010-02-18,Drama Thriller Mystery,2010,Unknown
Four Christmases,2008-11-26,Comedy Romance Drama,2008,Unknown
Robots,2005-03-10,Animation Comedy Family Science Fiction,2005,Unknown
Face/Off,1997-06-27,Action Crime Science Fiction Thriller,1997,Unknown
Bedtime Stories,2008-12-24,Fantasy Comedy Family Romance,2008,Unknown
Road to Perdition,2002-07-12,Thriller Crime Drama,2002,Unknown
Just Go with It,2011-02-10,Romance Comedy,2011,Unknown
Con Air,1997-06-01,Action Thriller Crime,1997,Unknown
Eagle Eye,2008-09-25,Mystery Thriller Action,2008,Unknown
Cold Mountain,2003-12-24,Drama,2003,Unknown
The Book of Eli,2010-01-14,Action Thriller Science Fiction,2010,Unknown
Flubber,1997-11-26,Comedy Family Science Fiction,1997,Unknown
The Haunting,1999-07-23,Horror Thriller Fantasy Mystery,1999,Unknown
Space Jam,1996-11-15,Animation Comedy Drama Family Fantasy,1996,Unknown
The Pink Panther,2006-01-18,Action Comedy Crime Mystery Family,2006,Unknown
The Day the Earth Stood Still,2008-12-10,Drama Science Fiction Thriller,2008,Unknown
Conspiracy Theory,1997-08-07,Action Drama Mystery Thriller,1997,Unknown
Fury,2014-10-15,War Drama Action,2014,Unknown
Six Days Seven Nights,1998-06-12,Action Adventure Comedy Romance,1998,Unknown
Yogi Bear,2010-12-11,Comedy Family Animation Adventure,2010,Unknown
Spirit: Stallion of the Cimarron,2002-05-24,Western Animation Adventure Comedy Family,2002,Unknown
Zookeeper,2011-07-06,Comedy Romance Family,2011,Unknown
Lost in Space,1998-04-03,Adventure Family Science Fiction,1998,Unknown
The Manchurian Candidate,2004-07-30,Drama Thriller Mystery,2004,Unknown
Déjà Vu,1998-04-22,Romance Drama,1998,Unknown
Hotel Transylvania 2,2015-09-21,Animation Comedy Family,2015,Unknown
Fantasia 2000,1999-12-17,Animation Family Music,1999,Unknown
The Time Machine,2002-03-04,Science Fiction Adventure Action,2002,Unknown
Mighty Joe Young,1998-12-25,Action Adventure Family Fantasy,1998,Unknown
Swordfish,2001-06-07,Action Crime Thriller,2001,Unknown
The Legend of Zorro,2005-10-24,Action Adventure,2005,Unknown
What Dreams May Come,1998-10-02,Drama Fantasy Romance,1998,Unknown
Little Nicky,2000-11-10,Comedy Fantasy Romance,2000,Unknown
The Brothers Grimm,2005-08-26,Adventure Fantasy Action Comedy Thriller,2005,Unknown
Mars Attacks!,1996-12-12,Comedy Fantasy Science Fiction,1996,Unknown
Evolution,2015-09-14,Mystery Drama Horror,2015,Unknown
The Edge,1997-09-06,Action Adventure Drama,1997,Unknown
Surrogates,2009-09-24,Action Science Fiction Thriller,2009,Unknown
Thirteen Days,2000-12-24,Drama Thriller,2000,Unknown
Daylight,1996-12-06,Action Adventure Thriller,1996,Unknown
Walking With Dinosaurs,2013-12-18,Animation Family Adventure,2013,Unknown
Battlefield Earth,2000-05-10,Action Science Fiction War,2000,Unknown
Looney Tunes: Back in Action,2003-11-14,Animation Comedy Family,2003,Unknown
Nine,2009-12-03,Drama Music Romance,2009,Unknown
Timeline,2003-11-26,Action Adventure Science Fiction,2003,Unknown
The Postman,1997-12-25,Drama Adventure,1997,Unknown
Babe: Pig in the City,1998-11-25,Adventure Comedy Drama Family Fantasy,1998,Unknown
The Last Witch Hunter,2015-10-21,Fantasy Action Adventure,2015,Unknown
Red Planet,2000-11-10,Thriller Action Science Fiction,2000,Unknown
Arthur and the Invisibles,2006-12-13,Adventure Fantasy Animation Family,2006,Unknown
Oceans,2009-10-17,Documentary Family,2009,Unknown
A Sound of Thunder,2005-05-15,Thriller Science Fiction Adventure Action,2005,Unknown
Pompeii,2014-02-18,Action Adventure History Romance Drama,2014,Unknown
Top Cat Begins,2015-10-30,Comedy Animation,2015,Unknown
A Beautiful Mind,2001-12-11,Drama Romance,2001,Unknown
The Lion King,1994-06-23,Family Animation Drama,1994,Unknown
Journey 2: The Mysterious Island,2012-01-19,Adventure Action Science Fiction,2012,Unknown
Cloudy with a Chance of Meatballs 2,2013-09-26,Animation Family Comedy,2013,Unknown
Red Dragon,2002-09-29,Crime Thriller Horror,2002,Unknown
Hidalgo,2004-03-05,Western Adventure,2004,Unknown
Jack and Jill,2011-11-11,Comedy,2011,Unknown
2 Fast 2 Furious,2003-06-05,Action Crime Thriller,2003,Unknown
The Little Prince,2015-07-29,Adventure Animation Fantasy,2015,Unknown
The Invasion,2007-08-17,Science Fiction Thriller,2007,Unknown
The Adventures of Rocky & Bullwinkle,2000-06-30,Action Adventure Animation Comedy Family,2000,Unknown
The Secret Life of Pets,2016-06-18,Animation Family,2016,Unknown
The League of Extraordinary Gentlemen,2003-07-11,Fantasy Action Thriller Science Fiction,2003,Unknown
Despicable Me 2,2013-06-25,Animation Comedy Family,2013,Unknown
Independence Day,1996-06-25,Action Adventure Science Fiction,1996,Unknown
The Lost World: Jurassic Park,1997-05-23,Adventure Action Science Fiction,1997,Unknown
Madagascar,2005-05-25,Family Animation,2005,Unknown
Children of Men,2006-09-22,Drama Action Thriller Science Fiction,2006,Unknown
X-Men,2000-07-13,Adventure Action Science Fiction,2000,Unknown
Wanted,2008-06-19,Action Thriller Crime,2008,Unknown
The Rock,1996-06-06,Action Adventure Thriller,1996,Unknown
Ice Age: The Meltdown,2006-03-23,Animation Family Comedy Adventure,2006,Unknown
50 First Dates,2004-02-13,Comedy Romance,2004,Unknown
Hairspray,2007-07-13,Family Comedy Music Romance,2007,Unknown
Exorcist: The Beginning,2004-08-20,Horror Mystery Thriller,2004,Unknown
Inspector Gadget,1999-07-23,Action Adventure Comedy Family,1999,Unknown
Now You See Me,2013-05-29,Thriller Crime,2013,Unknown
Grown Ups,2010-06-24,Comedy,2010,Unknown
The Terminal,2004-06-17,Comedy Drama,2004,Unknown
Hotel for Dogs,2009-01-16,Comedy Family,2009,Unknown
Vertical Limit,2000-12-08,Action Adventure Thriller,2000,Unknown
Charlie Wilson's War,2007-12-19,Comedy Drama History,2007,Unknown
Shark Tale,2004-09-20,Animation Action Comedy Family,2004,Unknown
Dreamgirls,2006-12-25,Drama,2006,Unknown
Be Cool,2005-03-04,Comedy Crime,2005,Unknown
Munich,2005-12-22,Drama Action History Thriller,2005,Unknown
Tears of the Sun,2003-03-07,Action Drama War,2003,Unknown
Killers,2010-06-04,Action Comedy Thriller Romance,2010,Unknown
The Man from U.N.C.L.E.,2015-08-13,Comedy Action Adventure,2015,Unknown
Spanglish,2004-12-17,Comedy,2004,Unknown
Monster House,2006-07-21,Animation Comedy Family Fantasy,2006,Unknown
Bandits,2001-10-12,Action Comedy Crime Romance,2001,Unknown
First Knight,1995-07-07,Action Adventure Drama Romance,1995,Unknown
Anna and the King,1999-12-16,Drama History Romance,1999,Unknown
Immortals,2011-11-10,Fantasy Action Drama,2011,Unknown
Hostage,2005-03-09,Mystery Drama Thriller Crime,2005,Unknown
Titan A.E.,2000-06-16,Animation Action Science Fiction Family Adventure,2000,Unknown
Hollywood Homicide,2003-06-09,Action Adventure Comedy Thriller,2003,Unknown
Soldier,1998-10-23,Action War Science Fiction,1998,Unknown
Carriers,2009-09-04,Action Drama Horror Science Fiction Thriller,2009,Unknown
Monkeybone,2001-02-23,Adventure Fantasy Animation Action Comedy,2001,Unknown
Flight of the Phoenix,2004-12-17,Action Adventure Drama Thriller,2004,Unknown
Unbreakable,2000-11-13,Science Fiction Thriller Drama,2000,Unknown
Minions,2015-06-17,Family Animation Adventure Comedy,2015,Unknown
Sucker Punch,2011-03-24,Action Fantasy Thriller,2011,Unknown
Snake Eyes,1998-08-07,Crime Mystery,1998,Unknown
Sphere,1998-02-13,Science Fiction,1998,Unknown
The Angry Birds Movie,2016-05-11,Family Animation,2016,Unknown
Fool's Gold,2008-02-07,Romance Comedy Adventure,2008,Unknown
Funny People,2009-07-31,Comedy Drama,2009,Unknown
The Kingdom,2007-08-22,Thriller Action Drama,2007,Unknown
Talladega Nights: The Ballad of Ricky Bobby,2006-08-04,Comedy,2006,Unknown
Dr. Dolittle 2,2001-06-22,Comedy Family Romance Fantasy,2001,Unknown
Braveheart,1995-05-24,Action Drama History War,1995,Unknown
Jarhead,2005-11-04,Drama War,2005,Unknown
The Simpsons Movie,2007-07-25,Animation Comedy Family,2007,Unknown
The Majestic,2001-12-21,Drama Romance,2001,Unknown
Driven,2001-04-27,Action,2001,Unknown
Two Brothers,2004-04-07,Adventure Drama Family,2004,Unknown
The Village,2004-07-30,Drama Mystery Thriller,2004,Unknown
Doctor Dolittle,1998-06-22,Comedy Family Fantasy,1998,Unknown
Signs,2002-08-02,Drama Thriller Science Fiction Mystery,2002,Unknown
Shrek 2,2004-05-19,Adventure Animation Comedy Family Fantasy,2004,Unknown
Cars,2006-06-08,Animation Adventure Comedy Family,2006,Unknown
Runaway Bride,1999-07-30,Comedy Romance,1999,Unknown
xXx,2002-08-09,Action Adventure Thriller,2002,Unknown
The SpongeBob Movie: Sponge Out of Water,2015-02-05,Animation Adventure Comedy Family,2015,Unknown
Ransom,1996-11-08,Action Thriller,1996,Unknown
Inglourious Basterds,2009-08-18,Drama Action Thriller War,2009,Unknown
Hook,1991-12-11,Adventure Fantasy Comedy Family,1991,Unknown
Die Hard 2,1990-07-02,Action Thriller,1990,Unknown
S.W.A.T.,2003-08-08,Action Thriller Crime,2003,Unknown
Vanilla Sky,2001-12-10,Drama Mystery Romance Science Fiction Thriller,2001,Unknown
Lady in the Water,2006-07-21,Drama Thriller Fantasy Mystery,2006,Unknown
AVP: Alien vs. Predator,2004-08-12,Adventure Science Fiction Action,2004,Unknown
Alvin and the Chipmunks: The Squeakquel,2009-12-21,Comedy Family Animation Fantasy Music,2009,Unknown
We Were Soldiers,2002-03-01,Action History War,2002,Unknown
Olympus Has Fallen,2013-03-20,Action Thriller,2013,Unknown
Star Trek: Insurrection,1998-12-10,Science Fiction Action Adventure Thriller,1998,Unknown
Battle: Los Angeles,2011-03-08,Action Science Fiction,2011,Unknown
Big Fish,2003-12-25,Adventure Fantasy Drama,2003,Unknown
Wolf,1994-06-17,Fantasy,1994,Unknown
War Horse,2011-12-25,Drama War,2011,Unknown
The Monuments Men,2014-01-24,War Drama History Action,2014,Unknown
The Abyss,1989-08-09,Adventure Action Thriller Science Fiction,1989,Unknown
Wall Street: Money Never Sleeps,2010-09-02,Drama Crime,2010,Unknown
Dracula Untold,2014-10-01,Horror Action Drama Fantasy War,2014,Unknown
The Siege,1998-11-06,Drama Action Thriller Crime,1998,Unknown
Stardust,2007-08-09,Adventure Fantasy Romance Family,2007,Unknown
Seven Years in Tibet,1997-09-12,Adventure Drama History,1997,Unknown
The Dilemma,2011-01-13,Comedy Drama,2011,Unknown
Bad Company,2002-06-07,Action Adventure Comedy Thriller,2002,Unknown
Doom,2005-10-20,Adventure Action Horror,2005,Unknown
I Spy,2002-10-31,Action Adventure Comedy Thriller,2002,Unknown
Underworld: Awakening,2012-01-19,Fantasy Action Horror,2012,Unknown
Rock of Ages,2012-06-13,Comedy Drama Music Romance,2012,Unknown
Hart's War,2002-02-15,Drama War,2002,Unknown
Killer Elite,2011-09-23,Action Adventure Thriller,2011,Unknown
Rollerball,2002-02-08,Action Science Fiction Thriller,2002,Unknown
Ballistic: Ecks vs. Sever,2002-09-20,Action Adventure Thriller,2002,Unknown
Hard Rain,1998-01-16,Thriller,1998,Unknown
Osmosis Jones,2001-08-07,Adventure Animation Action Comedy Family,2001,Unknown
Legends of Oz: Dorothy's Return,2013-06-13,Animation Music Family,2013,Unknown
Blackhat,2015-01-13,Crime Drama Mystery,2015,Unknown
Sky Captain and the World of Tomorrow,2004-09-17,Mystery Action Thriller Science Fiction Adventure,2004,Unknown
Basic Instinct 2,2006-03-29,Crime Mystery Thriller,2006,Unknown
Escape Plan,2013-10-09,Action Thriller,2013,Unknown
The Legend of Hercules,2014-01-10,Action Adventure,2014,Unknown
The Sum of All Fears,2002-05-31,Thriller Action Drama,2002,Unknown
The Twilight Saga: Eclipse,2010-06-23,Adventure Fantasy Drama Romance,2010,Unknown
The Score,2001-07-13,Action Crime Thriller,2001,Unknown
Despicable Me,2010-07-08,Animation Family,2010,Unknown
Money Train,1995-11-21,Action Comedy Crime,1995,Unknown
Ted 2,2015-06-25,Comedy,2015,Unknown
Agora,2009-05-17,Adventure Drama History,2009,Unknown
Mystery Men,1999-08-06,Adventure Fantasy Action Comedy Science Fiction,1999,Unknown
Hall Pass,2011-02-25,Comedy,2011,Unknown
The Insider,1999-10-28,Drama Thriller,1999,Unknown
The Finest Hours,2016-01-25,Action Drama History Thriller,2016,Unknown
Body of Lies,2008-10-10,Action Drama Thriller,2008,Unknown
Dinner for Schmucks,2010-07-30,Comedy,2010,Unknown
Abraham Lincoln: Vampire Hunter,2012-06-20,Action Fantasy Horror,2012,Unknown
Entrapment,1999-04-29,Romance Drama Mystery,1999,Unknown
The X Files,1998-06-19,Mystery Science Fiction Thriller,1998,Unknown
The Last Legion,2007-04-19,Action Adventure Fantasy War,2007,Unknown
Saving Private Ryan,1998-07-24,Drama History War,1998,Unknown
Need for Speed,2014-03-13,Action Crime Drama Thriller,2014,Unknown
What Women Want,2000-12-15,Comedy Romance,2000,Unknown
Ice Age,2002-03-10,Animation Comedy Family Adventure,2002,Unknown
Dreamcatcher,2003-03-21,Drama Horror Science Fiction Thriller,2003,Unknown
Lincoln,2012-11-09,History Drama,2012,Unknown
The Matrix,1999-03-30,Action Science Fiction,1999,Unknown
Apollo 13,1995-06-30,Drama,1995,Unknown
The Santa Clause 2,2002-10-31,Fantasy Comedy Family,2002,Unknown
Les Misérables,2012-12-18,Drama Music Romance,2012,Unknown
You've Got Mail,1998-12-17,Comedy Romance,1998,Unknown
Step Brothers,2008-07-25,Comedy,2008,Unknown
The Mask of Zorro,1998-07-16,Action Adventure,1998,Unknown
Due Date,2010-11-04,Comedy Drama,2010,Unknown
Unbroken,2014-12-25,Drama War,2014,Unknown
Space Cowboys,2000-07-31,Action Adventure Thriller,2000,Unknown
Cliffhanger,1993-05-28,Action Adventure Thriller,1993,Unknown
Broken Arrow,1996-02-09,Action Adventure Drama Thriller,1996,Unknown
The Kid,2000-07-07,Fantasy Comedy Family,2000,Unknown
World Trade Center,2006-08-09,Drama History Thriller,2006,Unknown
Mona Lisa Smile,2003-12-19,Drama Romance,2003,Unknown
The Dictator,2012-05-15,Comedy,2012,Unknown
Eyes Wide Shut,1999-07-14,Mystery Drama,1999,Unknown
Annie,2014-12-19,Comedy Drama Family,2014,Unknown
Focus,2015-02-25,Romance Comedy Crime Drama,2015,Unknown
This Means War,2012-02-14,Action Comedy Romance,2012,Unknown
Blade: Trinity,2004-12-08,Science Fiction Action Horror Thriller Adventure Fantasy,2004,Unknown
Red Dawn,1984-08-10,Action Thriller,1984,Unknown
Primary Colors,1998-03-20,Comedy Drama,1998,Unknown
Resident Evil: Retribution,2012-09-12,Action Horror Science Fiction,2012,Unknown
